Code INSEE,code_region,code_departement,Département,siren_epci,EPCI,Logements,Établissements,Locaux raccordables 4eme trimestre 2017,Locaux raccordables 1er trimestre 2018,Locaux raccordables 2eme trimestre 2018,Locaux raccordables 4eme trimestre 2018,Locaux raccordables 3eme trimestre 2018,Locaux raccordables 1er trimestre 2019,Locaux raccordables 2eme trimestre 2019,Locaux raccordables 3eme trimestre 2019,Locaux raccordables 4eme trimestre 2019,Locaux raccordables 1er trimestre 2020,Locaux raccordables 2eme trimestre 2020,Locaux raccordables 3eme trimestre 2020,Locaux raccordables 4eme trimestre 2020,Locaux raccordables 1er trimestre 2021,Locaux raccordables 2eme trimestre 2021,Locaux raccordables 3eme trimestre 2021,Locaux raccordables 4eme trimestre 2021,Région,deploiement,Locaux raccordables 1er trimestre 2022,commune,Commune,EPCI AMII,Nombre locaux IPE T2 2022 (somme tous OI),Source retenue T2 2022 ,Meilleure estimation des locaux T2 2022 ,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,OI T2 2022,Locaux raccordables 2eme trimestre 2022
44013,52,44,Loire-Atlantique,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),"1,302",45,0,0,0,0,0,0,223,276,558,606,669,757,866,930,"1,136","1,161","1,295",Pays de la Loire,,"1,392",Besné,Besné,Oui,"1,524",IPE T2 2022 (un IPE),"1,524",0,,0,1,FRTE,"1,404"
44020,52,44,Loire-Atlantique,244400404,Nantes Métropole,"8,499",484,"2,658","2,743","2,743","2,742","2,742","2,744","3,053","4,497","7,419","8,356","9,127","9,429","9,685","9,809","9,850","9,901","9,965",Pays de la Loire,,"9,989",Bouguenais,Bouguenais,Oui,"10,434",IPE T2 2022 (un IPE),"10,434",0,,0,0,SFTT,"10,039"
44021,52,44,Loire-Atlantique,200071546,CA Pornic Agglo Pays de Retz,"2,381",109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Villeneuve-en-Retz,Villeneuve-en-Retz,Non,0,INSEE 2018 (IPE moins complet),"2,491",0,0,0,1,,0
44028,52,44,Loire-Atlantique,244400552,CC du Pays d'Ancenis,"1,732",91,0,0,0,0,0,0,0,0,0,0,0,182,855,945,965,"1,159","1,216",Pays de la Loire,,"1,303",Le Cellier,Le Cellier,Non,"2,254",IPE T2 2022 (un IPE),"2,252",0,0,0,1,FRTE-LOAN,"1,361"
44035,52,44,Loire-Atlantique,244400404,Nantes Métropole,"8,608",548,"1,264","1,893","2,260","3,950","2,738","4,521","4,852","4,990","5,381","6,140","6,397","6,747","7,042","7,566","8,109","8,388","8,668",Pays de la Loire,,"8,837",La Chapelle-sur-Erdre,La Chapelle-sur-Erdre,Oui,"10,723",IPE T2 2022 (un IPE),"10,723",0,,0,0,FRTE,"9,190"
44066,52,44,Loire-Atlantique,244400503,CC d'Erdre et Gesvres,"2,300",130,0,0,0,0,0,0,0,0,0,394,394,472,"1,136","1,425","1,434","1,484","1,681",Pays de la Loire,,"1,768",Grandchamps-des-Fontaines,Grandchamps-des-Fontaines,Non,"3,495",IPE T2 2022 (un IPE),"3,495",0,0,0,0,LOAN,"2,013"
44084,52,44,Loire-Atlantique,200067866,CC Sèvre et Loire,"3,440",193,0,0,0,0,0,398,635,661,685,686,678,"1,013","1,586","1,942","2,258","2,663","3,038",Pays de la Loire,,"3,286",Le Loroux-Bottereau,Le Loroux-Bottereau,Non,"5,183",IPE T2 2022 (un IPE),"4,423",0,0,0,0,FI44-LOAN,"3,375"
44088,52,44,Loire-Atlantique,200067635,CA Clisson Sèvre et Maine Agglo,"1,259",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,Pays de la Loire,,120,Maisdon-sur-Sèvre,Maisdon-sur-Sèvre,Non,232,INSEE 2018 (IPE moins complet),"1,301",0,0,0,1,LOAN,121
44097,52,44,Loire-Atlantique,244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),"2,998",46,0,0,0,0,0,0,0,"1,900","1,918","2,034","2,410","2,676","3,125","3,148","3,168","3,156","3,193",Pays de la Loire,,"3,194",Mesquer,Mesquer,Oui,"3,240",IPE T2 2022 (un IPE),"3,240",0,,0,1,SFTT,"3,198"
44099,52,44,Loire-Atlantique,200072726,CC Châteaubriant-Derval,971,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Moisdon-la-Rivière,Moisdon-la-Rivière,Non,2,INSEE 2018 (IPE moins complet),"1,025",0,0,0,1,FI44,0
